index,title,pricing
0,"Curried Lentil, Tomato, and Coconut Soup",1
1,Roasted Butternut Squash with Herb Oil and Goat Cheese,2
2,Pumpkin Muffins,2
3,"Chopped Salad with Shallot Vinaigrette, Feta, and Dill",1
4,Grain Salad with Olives and Whole-Lemon Vinaigrette,1
5,Chilled Coconut Corn Soup,1
6,Vietnamese-Style Spaghetti Squash “Noodle” Bowls with Skirt Steak,3
8,Roasted Squash with Mint and Toasted Pumpkin Seeds,1
9,Butternut Squash Steaks with Brown Butter–Sage Sauce,4
10,Freeform Chicken Meatballs with Carrots and Yogurt Sauce,3
11,"Grain Bowls with Chicken, Spiced Chickpeas, and Avocado",3
12,Antipasto Salad,1
13,Ancho Chile Pork Tenderloin with Brussels Sprouts and Squash,3
14,Escarole with Italian Sausage and White Beans,3
15,Jerk Spice–Rubbed Chicken Legs,4
16,Roast Fish with Cannellini Beans and Green Olives,4
17,Shrimp with Herby White Beans and Tomatoes,5
19,Pork and Squash Stew with Chiles,3
20,Quick Sweet and Sour Chicken,4
21,Cacio e Pepe Pie,2
23,Sunday Stash Sweet Potatoes,2
25,Cold Sesame Noodles with Broccoli and Kale,2
26,Chickpea Salad Sandwich with Creamy Carrot-Radish Slaw,1
27,Mexican Meat Patties with Fresh Corn Salsa,3
28,Arroz Caldo (Chicken Rice Porridge),3
29,Butternut Squash Sandwich with Cheddar Cheese and Pickled Red Onion,2
32,Skillet Chicken and Zucchini Enchiladas with Tomatillo Sauce,3
35,Roasted Apricot Chicken with Mint and Sage Butternut Squash,3
37,3-Ingredient Creamy Pumpkin Pasta,2
38,Savory Dutch Baby for Two,1
39,Slow-Cooked Winter Squash with Sage and Thyme,1
41,Crispy Chicken and Potatoes with Cabbage Slaw,3
42,Baked Feta and Greens with Lemony Yogurt,2
43,Slow-Cooker Shredded Chicken,4
44,Roasted Acorn and Delicata Squash Salad,1
45,Kabocha Squash and Pork Stir-Fry,3
46,Winter Squash with Spiced Butter,1
47,Miso-Harissa Delicata Squash and Brussels Sprouts Salad,1
48,Quick Sesame Chicken with Broccoli,3
49,Persian Chicken with Turmeric and Lime,3
50,Make-Ahead Freezer-to-Oven Chicken Packets,3
51,Shrimp Poached in Coconut Milk with Fresh Herbs (Yerra Moolee),5
53,Spiced Turkey Chili with Spaghetti Squash,3
56,Slow-Cooker Chipotle-Orange Pork Tacos,3
57,Cheesy Baked Pasta with Cauliflower,2
58,Tuna and Artichoke Cooler-Pressed Sandwiches,5
59,Marbled Pumpkin-Maple Cheesecake Bars,2
61,Butternut Squash Vegducken with Mushroom-Cranberry Stuffing,1
63,"Farro Salad with Roasted Sweet Potatoes, Red Onion, and Goat Cheese",1
65,Roasted Acorn Squash and Honey,1
66,"Braised Rotisserie Chicken with Bacon, Tomatoes, and Kale",3
67,Cold Beef Tenderloin with Tomatoes and Cucumbers,3
68,"Pork Tenderloin with Turmeric, Squash, and Collard Greens Salad",3
69,Pull-Apart Bread with Pumpkin and Spinach,2
70,Orange Sweet Rolls,2
71,Basil-Cashew-Lime Vermicelli Bowls with Pork and Green Beans,4
72,Pasta with 10-Minute Pesto,2
74,Coconut-Apple-Ginger Dal,1
77,Veggie Burgers with Zucchini and Corn,2
78,Cracked Farro and Broccoli Salad,1
79,Bourbon Pumpkin Pie,2
81,Quinoa Bowl with Lentils and Mustard Vinaigrette,1
83,Pasta With 15-Minute Meat Sauce,2
84,Green Goddess Tuna Salad Sandwich,3
86,Slow Cooker Pork Shoulder with Zesty Basil Sauce,4
87,Grain Bowl Soup,1
88,Beer-Steamed Mussels with Chorizo,5
89,Broiled Cod with Fennel and Orange,5
90,Quick Chicken Tikka Masala,4
92,Broccoli Caesar,1
94,Haitian Beef and Pumpkin Soup (Soup Joumou),3
95,Hasselback Butternut Squash with Bay Leaves,2
96,Garlic Mojo Sauce,1
97,"""Antipasto"" Pasta with Sausage, Artichoke Hearts, and Sun-Dried Tomatoes",3
98,Pantry Pasta Puttanesca,2
99,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios",3
100,Pumpkin and Cookie-Butter Sheet Cake with Toasted Meringue,2
101,Stuffed Sweet Potatoes with Beans and Guacamole,1
102,Slow-Cooker Chicken Congee,4
103,"Chickpea Crêpe ""Tacos"" with Eggplant and Lamb",3
104,Easy Fried Rice with Chicken and Broccolini,3
105,Calzones with Chorizo and Kale,3
106,Warm Chicken Salad with Asparagus and Creamy Dill Dressing,3
107,"Chickpea Pancakes with Leeks, Squash, and Yogurt",2
108,Baked Penne with Green Chiles,2
110,Hot Honey Pork Chops with Escarole and White Beans,3
111,Roasted Beet Tzatziki Salad,1
113,"Our Favorite Lasagna with Sausage, Spinach, and Three Cheeses",3
114,Roasted Sweet Potato and Delicata Squash with Cranberry Agrodolce,2
115,10-Minute Sausage Skillet with Cherry Tomatoes and Broccolini,3
116,Make-Ahead Crispy Chicken Cutlets,4
117,Curried Chickpea and Lentil Dal,1
120,Navy Bean and Escarole Stew with Feta and Olives,4
121,Easy Lamb Tagine with Pomegranate,4
122,Sheet-Pan Pasta Bake with Chicken and Kale,3
123,Slow-Cooker White Chicken Chili,1
124,Niçoise Toast,2
125,Cold Sesame Noodles with Cucumber,2
126,The Winterized Penicillin,1
127,"Cheesy Baked Spaghetti Squash Boats with Salami, Sun-Dried Tomatoes, and Spinach",1
128,Black-Eyed Peas With Chard and Green Herb Smash,1
129,Curried Pumpkin Soup,1
131,Spiced Chickpeas and Greens Frittata,2
132,Korean Fried Chicken,4
134,Wheat Berry Bowl with Merguez and Pomegranate,1
136,Buffalo Wing Popcorn,1
137,Kale and Wild Rice–Stuffed Winter Squash,2
138,Sam's Spring Fattoush Salad,1
139,Sheet-Pan Roasted Squash and Feta Salad,1
140,Ricotta-Pumpkin Gnocchi with Brown Butter,2
141,Stuffed Sweet Potatoes with Curried Chickpeas and Mushrooms,2
142,Beef Chili,3
144,Simplest Kale Salad,1
146,Use-It-Up Frittata,2
147,Quiche Sardou,2
148,Easy Beef Lo Mein,3
149,Garlic-Chile Ground Pork,4
150,"Sheet-Pan Skirt Steak With Balsamic Vinaigrette, Broccolini, and White Beans",3
151,"Dill-Crusted Pork Tenderloin with Farro, Pea, and Blistered Tomato Salad",3
152,Sheet-Pan Steak Fajitas,3
153,"Easy Green Curry with Chicken, Bell Pepper, and Sugar Snap Peas",3
156,Miso-Tahini Squash Soup with Brown Rice,2
157,Ham Hock and White Bean Stew,3
158,Instant Pot Beef and Sweet Potato Chili,3
159,Chicken and Bacon Choucroute with Potato Salad,1
160,Double-Pork Carnitas,3
161,Oven Risotto with Crispy Roasted Mushrooms,1
162,Wine-Braised Brisket With Butternut Squash,3
163,French Spiced Bread,2
164,Spiced Kabocha Squash Pie With Pumpkin-Seed Crumble,2
165,Sunday Stash Marinara Sauce,1
166,Vegetarian Brown Rice Salad With Parsnips and Whipped Ricotta,1
167,Vegetarian Three-Bean Chili,1
170,Party Posole Rojo,3
171,Sheet-Pan Chicken with Tomatoes and Mozzarella,3
172,Coconut Chicken Curry in a Hurry,4
173,Thai-Spiced Turkey Burgers,3
175,Sheet-Pan Curry Pork Chops and Sweet Potatoes,3
176,Delicata Squash Carbonara,1
177,Kabocha Squash Cake with Brown Sugar Cream,2
178,Istanbul-Style Wet Burger (Islak Burger),3
179,Twice-Baked Butternut Squash With Parmesan Cream and Candied Bacon,3
180,Pumpkin Cheesecake with Bourbon–Sour Cream Topping,2
181,Marinated Mixed Beans,1
182,Hot Sesame Noodles with Scallions and Pork,2
183,Hot-Smoked Salmon with Salted Yogurt and Fennel,5
184,Spicy Black Bean and Corn Tacos,2
185,Roast Chicken With Sorghum and Squash,3
186,Shredded Chicken Salad with Creamy Miso Dressing,3
187,Baked Mustard-Crusted Salmon with Asparagus and Tarragon,5
188,Chocolate and Pumpkin Zebra Cake,2
189,"Quick Sweet Potato, Mushroom, and Black Bean Burrito",1
190,Very Versatile Baked Beans With Cabbage,1
191,Rotisserie Chicken Salad with Charred Scallion Dressing,3
193,Pumpkin Spice Bundt Cake with Buttermilk Icing,2
194,California Veggie Sandwich,2
195,Tomato and Cannellini Bean Soup,1
196,Baked Stuffed Shells (Conchiglie Ripiene al Forno),5
197,"Roasted Pumpkin, Marjoram, and Blue Cheese Frittata",2
198,Chicory Salad with Honey-Mustard Vinaigrette,1
199,Chicken and Dumplings with Mushrooms,2
200,Cheesy Chicken Enchilada Skillet,4
201,Cinnamon White Hot Chocolate,2
202,"Sunflower Seed ""Risotto"" with Squash and Mushrooms",1
203,Rosemary Olive Oil Bread,2
